video_id,title,upload_date,url,duration,view_count,caption_status,local_caption_file,local_info_json,processed_at
-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,20260514,https://www.youtube.com/watch?v=-2-vE-EbqBI,552,8975,AVAILABLE,raw\-2-vE-EbqBI\-2-vE-EbqBI.en-orig.vtt,raw\-2-vE-EbqBI\-2-vE-EbqBI.info.json,2026-05-21T15:49:43.117070
-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,20260504,https://www.youtube.com/watch?v=-4H1e2tFovA,18,944,AVAILABLE,raw\-4H1e2tFovA\-4H1e2tFovA.en-orig.vtt,raw\-4H1e2tFovA\-4H1e2tFovA.info.json,2026-05-21T15:49:43.136756
-HSpxk3HB60,How to take advantage of the VIX. A simple way not discussed enough #stocks #trading #optionstrading,20251213,https://www.youtube.com/watch?v=-HSpxk3HB60,50,1455,AVAILABLE,raw\-HSpxk3HB60\-HSpxk3HB60.en-orig.vtt,raw\-HSpxk3HB60\-HSpxk3HB60.info.json,2026-05-21T15:49:43.159047
-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,20260513,https://www.youtube.com/watch?v=-lZbWrPiyWU,63,1752,AVAILABLE,raw\-lZbWrPiyWU\-lZbWrPiyWU.en-orig.vtt,raw\-lZbWrPiyWU\-lZbWrPiyWU.info.json,2026-05-21T15:49:43.184707
0DCGY9kEB6c,Do you see the issue here? #trading #trader #daytrading #stockmarket #tradingstrategy,20260129,https://www.youtube.com/watch?v=0DCGY9kEB6c,16,598,MISSING,NONE,raw\0DCGY9kEB6c\0DCGY9kEB6c.info.json,2026-05-21T15:49:43.213474
0DmSqImHhRM,"This indicator identifies the rolling POC of the past 2 days, how would you use it? #trading",20260110,https://www.youtube.com/watch?v=0DmSqImHhRM,35,511,MISSING,NONE,raw\0DmSqImHhRM\0DmSqImHhRM.info.json,2026-05-21T15:49:43.239426
0mrpsFaPn2o,Backtesting is what institutional traders do 80% of their time #trading #daytrading #treader,20251217,https://www.youtube.com/watch?v=0mrpsFaPn2o,4,1206,MISSING,NONE,raw\0mrpsFaPn2o\0mrpsFaPn2o.info.json,2026-05-21T15:49:43.268985
0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,20260126,https://www.youtube.com/watch?v=0Pdp0d0siYE,58,853,AVAILABLE,raw\0Pdp0d0siYE\0Pdp0d0siYE.en-orig.vtt,raw\0Pdp0d0siYE\0Pdp0d0siYE.info.json,2026-05-21T15:49:43.295440
0TdmHjQyyBo,"Treat trading like a business, basing your decisions purely on data and not gut feelings #trading",20260101,https://www.youtube.com/watch?v=0TdmHjQyyBo,16,1223,AVAILABLE,raw\0TdmHjQyyBo\0TdmHjQyyBo.en-orig.vtt,raw\0TdmHjQyyBo\0TdmHjQyyBo.info.json,2026-05-21T15:49:43.322180
0XsMRxdl930,The more you trade the more commissions they make #trading #trader #daytrading,20260114,https://www.youtube.com/watch?v=0XsMRxdl930,13,141,AVAILABLE,raw\0XsMRxdl930\0XsMRxdl930.en-orig.vtt,raw\0XsMRxdl930\0XsMRxdl930.info.json,2026-05-21T15:49:43.350334
