prompt_type,source_workflow_id,prompt_count,example_prompt_ids,example_source_titles,human_review_required_count,processed_at
replication_question,research_paper_to_backtest_workflow,12,P--2-vE-EbqBI-research_paper_to_backtest_workflow-1; P-7VG4_sgwJC0-research_paper_to_backtest_workflow-1,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; Day 11 dividing the data between in sample and out of sample #trader #trading #algotrading #futures,12,2026-05-21T06:28:25.648706
validation_question,research_paper_to_backtest_workflow,12,P--2-vE-EbqBI-research_paper_to_backtest_workflow-2; P-7VG4_sgwJC0-research_paper_to_backtest_workflow-2,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; Day 11 dividing the data between in sample and out of sample #trader #trading #algotrading #futures,12,2026-05-21T06:28:25.648706
risk_review_question,risk_first_strategy_review_workflow,70,P--2-vE-EbqBI-risk_first_strategy_review_workflow-1; P--2-vE-EbqBI-risk_first_strategy_review_workflow-2,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,70,2026-05-21T06:28:25.648706
validation_question,execution_microstructure_review_workflow,29,P--2-vE-EbqBI-execution_microstructure_review_workflow-1; P-0Pdp0d0siYE-execution_microstructure_review_workflow-1,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,29,2026-05-21T06:28:25.648706
workflow_design_question,execution_microstructure_review_workflow,29,P--2-vE-EbqBI-execution_microstructure_review_workflow-2; P-0Pdp0d0siYE-execution_microstructure_review_workflow-2,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,29,2026-05-21T06:28:25.648706
workflow_design_question,ai_assisted_quant_learning_workflow,29,P--2-vE-EbqBI-ai_assisted_quant_learning_workflow-1; P--4H1e2tFovA-ai_assisted_quant_learning_workflow-1,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; #trading #trader #daytrading #finance #strategytrading,29,2026-05-21T06:28:25.648706
workstation_feature_question,ai_assisted_quant_learning_workflow,29,P--2-vE-EbqBI-ai_assisted_quant_learning_workflow-2; P--4H1e2tFovA-ai_assisted_quant_learning_workflow-2,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; #trading #trader #daytrading #finance #strategytrading,29,2026-05-21T06:28:25.648706
workstation_feature_question,workstation_module_candidate_workflow,30,P--2-vE-EbqBI-workstation_module_candidate_workflow-1; P--4H1e2tFovA-workstation_module_candidate_workflow-1,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; #trading #trader #daytrading #finance #strategytrading,30,2026-05-21T06:28:25.648706
workflow_design_question,workstation_module_candidate_workflow,30,P--2-vE-EbqBI-workstation_module_candidate_workflow-2; P--4H1e2tFovA-workstation_module_candidate_workflow-2,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; #trading #trader #daytrading #finance #strategytrading,30,2026-05-21T06:28:25.648706
workflow_design_question,psychological_process_and_discipline_workflow,18,P--2-vE-EbqBI-psychological_process_and_discipline_workflow-1; P--4H1e2tFovA-psychological_process_and_discipline_workflow-1,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; #trading #trader #daytrading #finance #strategytrading,18,2026-05-21T06:28:25.648706
research_question,psychological_process_and_discipline_workflow,18,P--2-vE-EbqBI-psychological_process_and_discipline_workflow-2; P--4H1e2tFovA-psychological_process_and_discipline_workflow-2,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?; #trading #trader #daytrading #finance #strategytrading,18,2026-05-21T06:28:25.648706
research_question,market_inefficiency_hypothesis_workflow,30,P--lZbWrPiyWU-market_inefficiency_hypothesis_workflow-1; P-3zfggSLgJLg-market_inefficiency_hypothesis_workflow-1,"Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading; If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",30,2026-05-21T06:28:25.648706
validation_question,market_inefficiency_hypothesis_workflow,30,P--lZbWrPiyWU-market_inefficiency_hypothesis_workflow-2; P-3zfggSLgJLg-market_inefficiency_hypothesis_workflow-2,"Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading; If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",30,2026-05-21T06:28:25.648706
