queue_item_id,prompt_id,prompt_type,source_workflow_id,source_video_id,source_title,priority,review_status,reviewer,recommended_next_action,safety_notes,created_at
Q-001-P--2-vE-Eb,P--2-vE-EbqBI-research_paper_to_backtest_workflow-1,replication_question,research_paper_to_backtest_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Review the source video and write the hypothesis in your own words.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-002-P--2-vE-Eb,P--2-vE-EbqBI-research_paper_to_backtest_workflow-2,validation_question,research_paper_to_backtest_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,List validation checks before treating this as a strategy candidate.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-003-P--2-vE-Eb,P--2-vE-EbqBI-risk_first_strategy_review_workflow-1,risk_review_question,risk_first_strategy_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-004-P--2-vE-Eb,P--2-vE-EbqBI-risk_first_strategy_review_workflow-2,risk_review_question,risk_first_strategy_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-005-P--2-vE-Eb,P--2-vE-EbqBI-execution_microstructure_review_workflow-1,validation_question,execution_microstructure_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,List validation checks before treating this as a strategy candidate.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-006-P--2-vE-Eb,P--2-vE-EbqBI-execution_microstructure_review_workflow-2,workflow_design_question,execution_microstructure_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-007-P--2-vE-Eb,P--2-vE-EbqBI-ai_assisted_quant_learning_workflow-1,workflow_design_question,ai_assisted_quant_learning_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-008-P--2-vE-Eb,P--2-vE-EbqBI-ai_assisted_quant_learning_workflow-2,workstation_feature_question,ai_assisted_quant_learning_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-009-P--2-vE-Eb,P--2-vE-EbqBI-workstation_module_candidate_workflow-1,workstation_feature_question,workstation_module_candidate_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-010-P--2-vE-Eb,P--2-vE-EbqBI-workstation_module_candidate_workflow-2,workflow_design_question,workstation_module_candidate_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
