video_id,title,upload_date,url,duration,view_count,original_caption_status,canonical_status,candidate_transcript_count,canonical_source_file,transcript_char_count,transcript_word_count,selection_reason,processed_at
-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,20260514,https://www.youtube.com/watch?v=-2-vE-EbqBI,552,8975,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-2-vE-EbqBI.en.txt,6861,1267,Selected longest manual English transcript.,2026-05-21T15:57:14.030890
-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,20260504,https://www.youtube.com/watch?v=-4H1e2tFovA,18,944,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-4H1e2tFovA.en.txt,338,58,Selected longest manual English transcript.,2026-05-21T15:57:14.031175
-HSpxk3HB60,How to take advantage of the VIX. A simple way not discussed enough #stocks #trading #optionstrading,20251213,https://www.youtube.com/watch?v=-HSpxk3HB60,50,1455,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-HSpxk3HB60.en.txt,869,161,Selected longest manual English transcript.,2026-05-21T15:57:14.031302
-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,20260513,https://www.youtube.com/watch?v=-lZbWrPiyWU,63,1752,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-lZbWrPiyWU.en.txt,1035,175,Selected longest manual English transcript.,2026-05-21T15:57:14.031413
0DCGY9kEB6c,Do you see the issue here? #trading #trader #daytrading #stockmarket #tradingstrategy,20260129,https://www.youtube.com/watch?v=0DCGY9kEB6c,16,598,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.031522
0DmSqImHhRM,"This indicator identifies the rolling POC of the past 2 days, how would you use it? #trading",20260110,https://www.youtube.com/watch?v=0DmSqImHhRM,35,511,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.031525
0mrpsFaPn2o,Backtesting is what institutional traders do 80% of their time #trading #daytrading #treader,20251217,https://www.youtube.com/watch?v=0mrpsFaPn2o,4,1206,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.031527
0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,20260126,https://www.youtube.com/watch?v=0Pdp0d0siYE,58,853,AVAILABLE,canonical_selected,2,processed\transcripts_txt\0Pdp0d0siYE.en.txt,1160,210,Selected longest manual English transcript.,2026-05-21T15:57:14.031529
0TdmHjQyyBo,"Treat trading like a business, basing your decisions purely on data and not gut feelings #trading",20260101,https://www.youtube.com/watch?v=0TdmHjQyyBo,16,1223,AVAILABLE,canonical_selected,2,processed\transcripts_txt\0TdmHjQyyBo.en.txt,275,42,Selected longest manual English transcript.,2026-05-21T15:57:14.031632
0XsMRxdl930,The more you trade the more commissions they make #trading #trader #daytrading,20260114,https://www.youtube.com/watch?v=0XsMRxdl930,13,141,AVAILABLE,canonical_selected,2,processed\transcripts_txt\0XsMRxdl930.en.txt,272,49,Selected longest manual English transcript.,2026-05-21T15:57:14.031728
